Miejscowość,,Duszniki-Zdrój,Jawor,Jelenia Góra,Wrocław,Wrocław,Bydgoszcz,Mogilno,Toruń,Włocławek,Lublin,Nałęczów,Łódź,Łódź,Zgierz,Nowa Sól,Wschowa,Żary,Zielona Góra,Kraków,Kraków,Kraków,Tarnów,Konstancin-Jeziorna,Legionowo,Mińsk Mazowiecki,Otwock,Piastów,Płock,Radom,Siedlce,Warszawa,Warszawa,Warszawa,Warszawa,Warszawa,Warszawa,Żyrardów,Kędzierzyn-Koźle,Prudnik,Białystok,Borsukowizna,Suwałki,Dębica,Horyniec-Zdrój,Jarosław,Mielec,Przemyśl,Rymanów-Zdrój,Rzeszów,Gdańsk,Kielce,Skarżysko-Kamienna,Starachowice,Bielsko-Biała,Katowice,Złoty Potok,Elbląg,Gołdap,Olsztyn,Kalisz,Szczecin,Szczecin,Szczecin
Kod stacji,,DsDusznikMOB,DsJaworMOB,DsJelGorOgin,DsWrocAlWisn,DsWrocWybCon,KpBydPlPozna,KpMogiNowMOB,KpToruDziewu,KpWloclOkrze,LbLubObywate,LbNaleczAlMa,LdLodzCzerni,LdLodzGdansk,LdZgieMielcz,LuNowaSolMOB,LuWsKaziWiel,LuZarySzyman,LuZielKrotka,MpKrakAlKras,MpKrakBujaka,MpKrakBulwar,MpTarRoSitko,MzKonJezWieMOB,MzLegZegrzyn,MzMinMazKaziMOB,MzOtwoBrzozo,MzPiasPulask,MzPlocMiReja,MzRadTochter,MzSiedKonars,MzWarAlNiepo,MzWarBajkowa,MzWarChrosci,MzWarKondrat,MzWarTolstoj,MzWarWokalna,MzZyraRoosev,OpKKozBSmial,OpPrudPodgor,PdBialUpalna,PdBorsukowiz,PdSuwPulask2,PkDebiGrottg,PkHorZdrParkMOB,PkJarosPruch,PkMielBierna,PkPrzemGrunw,PkRymZdrPark,PkRzeszPilsu,PmGdaLeczkow,SkKielTargow,SkSkarZielnaMOB,SkStaraZlota,SlBielPartyz,SlKatoKossut,SlZlotPotLes,WmElbBazynsk,WmGoldUzdrowMOB,WmOlsPuszkin,WpKaliSawick,ZpSzczAndrze,ZpSzczBudzWosMOB,ZpSzczPilsud
rok,miesiąc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,37.03513870794078,32.573604112903226,28.659557809139784,30.098849112903228,29.308234153225804,30.536649541666666,40.726956893203884,28.320155555555555,37.269368775235534,34.032870967741935,37.13992960352423,29.80210781671159,38.70929268292683,47.697331053351576,31.195063539703902,32.91647057951482,19.5414,20.26777202797203,44.437841814516126,39.787916298788694,30.064520796221323,41.5161901344086,28.366128547779276,35.83318506451613,36.515760430686406,36.5908993255814,35.58840998447205,28.513719300539083,38.959409307795696,34.29095303867403,36.01618815860215,31.14962493631436,32.09600311231394,22.39764456353591,32.20619613670134,26.24273036204576,34.20114190309556,39.2636299327957,31.59528539402174,23.59404600811908,15.331090174966352,17.096836313617604,57.94519131614654,29.76332236842105,41.14811320754717,41.74059087365591,39.6247311827957,31.81787634408602,45.16692256445048,,31.4329650092081,31.449226006191953,34.170912219215154,55.187001009421266,43.471370403225805,29.205201637931033,23.477532298387096,20.345150432835823,25.135166344086024,30.551606440677965,18.106961029810297,,21.5893610359116
2019,2,36.24427026825634,29.187173791044774,38.064712578241426,31.104851833084947,30.446586184798807,30.970725515055467,34.693782142857145,26.500920532319395,34.827842026825635,29.369354464285713,26.521761180030254,28.895295902883156,35.46831530139104,44.07025411061286,39.741420431547624,39.67713215773809,23.295038462686566,20.54471100869565,51.62871147321429,40.97974328358209,32.47943670640834,32.647550758928574,26.58030556572379,30.729255959821426,33.29282738095238,33.53170043303572,31.529190520833335,27.195349288690473,34.46931336160714,31.809181547619048,35.61294586904762,30.063840450892858,28.785527672955975,22.259399977678573,29.46409226190476,24.177612952167415,27.696861704035875,36.635307857142855,32.9425366558966,19.456035767511178,12.916369047619046,15.449177877428998,41.63159463487332,25.827952167414054,37.602380952380955,31.184078895522386,30.620627802690585,20.622619047619047,28.63927988095238,,42.03237410071942,29.615625,32.675970149253736,42.03115245877061,42.289596889880954,23.272881770992367,23.273010714285714,15.967487351190476,21.482716646795826,31.962450618401203,25.332127544642855,,29.70967169642857
2019,3,20.164111094594592,19.24628995956873,19.47980186234818,19.179600161290324,18.91903244594595,16.377068356164386,20.655679676985194,15.169024827586208,22.342838492597576,20.46441700404858,20.055690742240216,18.958108108108107,24.28654970760234,31.698762035763412,18.976260161290323,20.430914330175913,13.240927755376344,11.838742664835166,34.24113410326087,24.050094374158817,20.67972410497981,27.937268521505377,18.084250353424657,21.544471330645163,23.48825268817204,27.72172461827957,21.537473118279568,17.144573748308524,23.06189440962099,23.06763440860215,26.490449225371123,23.060998650472335,20.510491666666667,16.846541025641024,18.679422043010753,17.313343238924052,19.156675639300133,21.542208936742934,17.867045970350404,12.954609929078014,7.390896739130435,11.17085020242915,32.63545331529093,20.949730458221026,31.650675675675675,25.496637455540352,24.517587209302324,16.08521505376344,21.41993221024259,,27.316212534059943,18.990591397849464,22.40445945945946,31.26520305818674,28.847649932795697,16.99598674293405,14.211482943548388,10.152434852150538,13.374063629032259,18.947269249999998,13.411935579514823,12.805918636363637,15.642227540322581
2019,4,27.403961885714285,22.295041861111113,23.76315533333333,21.718585903954803,20.707369665738163,20.67992040229885,17.69459335793358,17.833361715160795,22.22947566063978,21.001527777777778,17.995105070422536,19.22361111111111,19.91701828410689,22.94632768361582,21.210347416666668,25.681352694444442,15.180370515320336,14.053655683139535,27.351649388888887,26.520937670454543,20.555990338504937,26.684030861111108,19.010362542538353,23.466632983333334,21.416091794158554,27.01252553200569,21.011166666666668,19.962879213483145,24.902574371340524,23.697976950354608,25.92837359583333,20.01344537815126,20.516428611111113,20.156095331005588,21.971041666666665,17.751509009776537,19.853891050583655,23.49236471488178,19.891588310055866,16.366666666666667,12.895077355836849,13.68244382022472,29.201678321678322,15.997075208913648,23.22625,22.41268316155989,22.05686274509804,16.210277777777776,19.221621305555555,,18.70418410041841,19.120694444444442,18.624499999999998,28.25951991666667,25.09385936111111,17.41310935933148,16.08002916550765,13.663860402777777,17.881922680555554,22.958152833333337,17.561912875,15.79760801388889,20.999195805555555
2019,5,13.569072095639942,10.6888425,13.244296129032259,13.776702405913978,12.785202543103447,15.580946757164405,13.373495161290323,11.732730449251248,15.934345895020186,12.417765814266486,10.025847424657535,12.780323450134771,13.514324693042292,14.815450643776824,11.53823231968811,14.310533570451437,7.1761137901861245,8.342351053351573,19.245740416666667,15.160047405913978,12.008394810659187,14.673784892473117,11.900741745967741,14.334068884408602,13.547094133697136,16.17758359559835,14.006424731182797,13.42627027027027,13.811981614035087,14.721895161290323,19.592767454054055,12.720350404312669,13.747208333333335,11.597715748655913,14.179959677419355,11.57141177254374,12.176182795698924,13.394090780619113,8.900203041722746,9.398601398601398,6.964324324324325,8.954322766570606,16.586541049798114,9.064150943396227,13.543015214384509,14.135828,12.021774193548389,8.941184387617765,11.330306599462366,,10.926187245590231,11.611962365591397,10.503935309973047,19.297802321187586,17.45534106182796,12.051102631578948,10.44860443548387,6.908557567204301,10.692971706989248,15.123097510608204,10.735832681940702,9.43307194892473,12.571100604838708
2019,6,13.11092261111111,10.795541611111112,11.888630516759775,12.825615599435825,11.886096432584269,20.193601729292926,12.00145111111111,10.874480794701986,13.163446453407511,10.773226256983241,10.066073034965035,11.119444444444444,14.3648,14.799107142857142,10.909300537124802,14.954228516949152,9.506178291316527,10.350858214804065,16.736521485148515,15.543052479108635,13.427051438547487,15.077092708333334,9.51198737026648,10.696927608333333,12.136321678321677,12.409263144444445,10.780597222222221,11.774214186369958,11.600264880055787,11.321143654114366,17.20752150952381,10.158774373259053,10.734434583333334,9.734633709722221,11.838833333333332,9.495632368495077,9.792478753541076,11.895496319444444,10.071063636363636,8.466386554621849,6.562306610407877,10.132051282051282,15.560055865921788,10.20711175616836,13.086805555555555,12.990608854748602,12.585416666666667,13.46230215827338,11.963319972222221,,11.249583333333334,10.546666666666667,10.277819444444445,16.559835680555555,13.626209248956885,11.160355969316598,9.622041527777778,6.801892430555555,10.174921777777778,13.754051257062148,10.84829786111111,9.473233333333333,11.818980236111111
2019,7,10.332749653679654,8.587892772543741,10.45432177027027,11.026030376344085,10.20279379076087,12.52281636085627,8.678127762803234,7.683460437956204,9.725965006729474,13.20296359223301,7.5283784010840105,7.969086021505376,11.357734806629834,10.014388489208633,8.341078064516129,10.59768019047619,7.5513096900269545,8.84247179775281,16.06817585135135,14.349105154777929,11.835228105548039,12.775912002688171,6.922427144827586,8.018078350806451,9.29510752688172,9.473025878869448,8.51257065948856,8.87502688172043,9.887055584573748,8.428870967741936,15.170336578082193,7.330820995962315,8.384236572199729,7.5613293099173555,9.126561514195583,7.001216393351801,7.55880376344086,9.539614260752687,7.549099017496635,6.128057553956834,4.23937753721245,7.313937753721245,11.794990723562153,8.573812754409769,11.606460296096905,11.182915108991827,9.429032258064515,9.108345534407027,8.835180752688172,9.428528443983403,9.544743935309972,8.443279569892473,8.550571827057183,14.551140121130553,12.361124610215054,9.709937029972751,7.599671451612903,4.9890813055181695,7.56946938172043,10.369505555555556,7.820784462585034,6.468319273216689,8.92361182795699
2019,8,11.755713938172043,8.917286968011126,11.099565452091769,11.148638741355462,10.169577265306122,19.31859416961131,10.64509351724138,10.083991549295774,12.173080645161292,12.206317204301076,9.39506535666218,9.345430107526882,14.71606648199446,14.877492877492877,10.09576317204301,11.81159770889488,9.022120349932704,10.035960658436215,18.50507411051213,13.315883921832885,15.485456376021798,14.67110569892473,9.18447760026918,10.04221696,12.081972972972972,11.823788744623657,10.323736559139785,11.046610644257703,11.90005738731444,11.546317204301074,16.6766313844086,9.645295698924732,10.443745833333333,9.046414688172042,11.469986559139786,8.773802023097826,9.524527027027027,10.15103251691475,8.158683965053763,8.351931330472103,5.455779569892473,9.14687953555878,15.035483870967742,10.291339648173206,12.5322102425876,12.41352910081744,11.911716621253406,10.889285714285714,11.393332177419355,11.469635456989247,11.96221322537112,10.107821229050279,10.005430107526882,14.55032628032345,12.13925318548387,10.224934184782608,8.20610184139785,6.991108413978494,10.06220067204301,11.63386329201102,8.889012841530056,9.12852572567783,11.135310188172044
2019,9,11.030445013888889,8.165925416666667,13.10740965337955,12.520820347222221,11.684918583333332,15.59332709359606,14.201267977528088,12.438623050847458,15.855606397774688,14.000834492350487,11.075467083333333,12.358649789029537,14.638205499276411,19.233644859813083,9.719486222222221,13.141506503816794,8.340065972222222,8.89949775568182,18.47836297222222,14.153434764705882,15.501633830083566,15.363797951977402,11.357108303198887,14.110660768055554,14.111887905604721,15.476451865277777,14.163277777777777,13.655972222222221,14.316984176634215,11.310291666666666,20.10050006687898,14.968251748251747,13.422857719054242,11.360262766666667,13.49509722222222,8.687591708439898,11.980916666666667,9.98756519607843,8.330795888888888,8.524964336661911,4.866946778711484,9.968938193343899,15.599444444444446,11.671787709497206,14.262728551336146,13.534824606741575,12.227916666666667,9.861290322580645,14.680986406685236,11.325749902777778,13.457796852646638,12.718181818181819,12.219458333333334,16.09089521557719,13.64912248611111,10.713006036161335,7.466144822888284,6.526221111111112,9.638967611111111,14.250190029027575,10.117222545710266,9.973138569444444,11.91548411111111
2019,10,19.898965708502022,17.00229883064516,21.468927189440993,20.090519054054052,18.006491338797815,24.574938603988603,24.696428070175436,18.103545345345346,29.601212162162163,26.233333333333334,25.445383445491252,20.39622641509434,25.230352303523034,33.513850415512465,19.452097957446806,24.503634253393663,16.463303561827956,14.256458684931507,30.88597071236559,23.058359999999997,26.690531956815114,25.302290860215052,19.201147782246878,27.16309441644205,24.579073529411765,28.32232307806191,22.6966935483871,21.34049798115747,24.648330432032303,23.622981157469717,28.471749103633915,26.100269179004037,22.62830188425303,19.240529149394348,23.352758112094396,19.24999901889535,19.706675639300133,17.383615088495574,17.246603179972936,16.178137651821864,10.880349932705249,14.214774281805745,27.47098591549296,23.216422764227644,30.163306451612904,24.201781598360654,16.60153846153846,18.946433378196502,24.70696555107527,17.67694723901099,26.148921832884096,19.91154891304348,24.06383580080754,26.36272798387097,14.78976287878788,15.382487956989248,12.945037000000001,9.402444555160143,16.76565387617766,22.19027054200542,13.517042716049382,15.633593508064516,16.249517728494624
2019,11,17.514997426981918,24.487801823361824,24.331859235048682,23.608888902777778,23.181665485232067,27.44027793493635,28.230253129346313,21.95293725490196,31.613201459854018,23.13212795549374,17.16098990264256,21.362745098039216,28.187116564417177,29.178062678062677,29.915541185495115,27.28509915277778,22.270812628205128,19.004624564254062,35.60402530555555,26.066504289693597,29.569576509040335,22.56757827777778,19.266349954166667,27.930960147632312,24.91510431154381,26.893025493723847,23.748194444444444,24.1463904494382,23.785470574616454,18.758244274809158,26.892961791376916,22.445972222222224,23.476671309192202,20.200257064335663,24.45842105263158,19.491161579972182,22.060696378830084,20.28664548611111,21.263317798036468,15.613960113960115,11.655771905424201,14.13389355742297,25.065517241379307,17.486211699164347,22.32347222222222,19.08785550139276,20.632926829268293,13.301527777777778,20.64655972222222,27.211042358757066,19.702082738944366,21.909610027855155,21.07675,33.93153650417827,30.563474588607594,18.504423254520166,17.799370668563302,14.399183027777779,20.426636694444444,22.704672562674094,21.16119868715084,24.142380625,25.37669920833333
2019,12,26.50247198924731,19.9836600807537,25.955477921727393,23.43252632432432,21.760264979480162,24.857317073170734,28.0660064516129,21.458297872340424,31.721774193548388,24.20806451612903,13.325973010752687,21.565868263473053,32.697792869269946,35.52168021680217,33.03712043010753,27.397326309523812,15.568889056603775,17.188602500000002,38.09040078272605,32.23016620253165,31.797916847090665,22.691151478494625,20.850340015536723,27.95932143951613,26.643451086956524,31.41582648849797,25.643805668016196,23.501294765840218,27.819009346828608,24.37519708029197,26.795112841397852,23.76989247311828,24.35358331090175,20.26834571908602,23.115215053763443,19.41731294993234,20.72934139784946,21.408135900537633,26.34664,16.358974358974358,11.413575268817205,12.40040650406504,25.352294853963837,22.994416243654822,22.742027027027024,22.125641747967478,22.74098039215686,16.0628453038674,20.812646559139782,21.460476589041097,23.33926657263752,23.68293010752688,25.07497311827957,33.85982005376344,29.753703642473116,20.351577284946238,17.214363965053764,15.245413401015227,17.355461599462366,24.560960337837837,13.761872344632767,17.92432239892183,18.72623686062246
