Miejscowość,Kod stacji,2019
Borsukowizna,PdBorsukowiz,65
Gdańsk,PmGdaLeczkow,71
Gołdap,WmGoldUzdrowMOB,76
Szczecin,ZpSzczBudzWosMOB,85
Suwałki,PdSuwPulask2,89
Elbląg,WmElbBazynsk,107
Zielona Góra,LuZielKrotka,108
Żary,LuZarySzyman,109
Białystok,PdBialUpalna,111
Szczecin,ZpSzczAndrze,116
Nałęczów,LbNaleczAlMa,126
Olsztyn,WmOlsPuszkin,136
Rymanów-Zdrój,PkRymZdrPark,139
Złoty Potok,SlZlotPotLes,143
Prudnik,OpPrudPodgor,143
Toruń,KpToruDziewu,149
Horyniec-Zdrój,PkHorZdrParkMOB,150
Nowa Sól,LuNowaSolMOB,152
Warszawa,MzWarWokalna,154
Wrocław,DsWrocWybCon,155
Jawor,DsJaworMOB,155
Warszawa,MzWarKondrat,158
Skarżysko-Kamienna,SkSkarZielnaMOB,162
Szczecin,ZpSzczPilsud,163
Jelenia Góra,DsJelGorOgin,169
Konstancin-Jeziorna,MzKonJezWieMOB,170
Żyrardów,MzZyraRoosev,170
Kielce,SkKielTargow,171
Kędzierzyn-Koźle,OpKKozBSmial,174
Starachowice,SkStaraZlota,175
Duszniki-Zdrój,DsDusznikMOB,176
Wrocław,DsWrocAlWisn,180
Przemyśl,PkPrzemGrunw,182
Łódź,LdLodzCzerni,183
Płock,MzPlocMiReja,188
Rzeszów,PkRzeszPilsu,190
Siedlce,MzSiedKonars,190
Piastów,MzPiasPulask,194
Warszawa,MzWarChrosci,195
Mogilno,KpMogiNowMOB,196
Warszawa,MzWarBajkowa,198
Kalisz,WpKaliSawick,200
Mielec,PkMielBierna,200
Lublin,LbLubObywate,201
Warszawa,MzWarTolstoj,202
Kraków,MpKrakBulwar,203
Wschowa,LuWsKaziWiel,205
Legionowo,MzLegZegrzyn,207
Mińsk Mazowiecki,MzMinMazKaziMOB,209
Radom,MzRadTochter,211
Katowice,SlKatoKossut,213
Kraków,MpKrakBujaka,218
Bydgoszcz,KpBydPlPozna,218
Łódź,LdLodzGdansk,219
Włocławek,KpWloclOkrze,221
Jarosław,PkJarosPruch,225
Otwock,MzOtwoBrzozo,226
Tarnów,MpTarRoSitko,238
Zgierz,LdZgieMielcz,244
Bielsko-Biała,SlBielPartyz,258
Dębica,PkDebiGrottg,258
Kraków,MpKrakAlKras,291
Warszawa,MzWarAlNiepo,299
