Miejscowość,,Jelenia Góra,Wrocław,Wrocław,Bydgoszcz,Bydgoszcz,Toruń,Włocławek,Lublin,Łódź,Łódź,Zgierz,Wschowa,Żary,Zielona Góra,Kraków,Kraków,Kraków,Tarnów,Konstancin-Jeziorna,Legionowo,Otwock,Piastów,Płock,Radom,Siedlce,Warszawa,Warszawa,Warszawa,Warszawa,Żyrardów,Kędzierzyn-Koźle,Augustów,Białystok,Suwałki,Mielec,Przemyśl,Rymanów-Zdrój,Gdańsk,Kościerzyna,Kielce,Kielce,Końskie,Połaniec,Bielsko-Biała,Katowice,Złoty Potok,Olsztyn,Kalisz,Poznań,Szczecin,Szczecin
Kod stacji,,DsJelGorOgin,DsWrocAlWisn,DsWrocWybCon,KpBydPlPozna,KpBydWarszaw,KpToruDziewu,KpWloclOkrze,LbLubObywate,LdLodzCzerni,LdLodzGdansk,LdZgieMielcz,LuWsKaziWiel,LuZarySzyman,LuZielKrotka,MpKrakAlKras,MpKrakBujaka,MpKrakBulwar,MpTarRoSitko,MzKonJezWieMOB,MzLegZegrzyn,MzOtwoBrzozo,MzPiasPulask,MzPlocMiReja,MzRadTochter,MzSiedKonars,MzWarAlNiepo,MzWarKondrat,MzWarTolstoj,MzWarWokalna,MzZyraRoosev,OpKKozBSmial,PdAugustoZdrMOB,PdBialUpalna,PdSuwPulask2,PkMielBierna,PkPrzemGrunw,PkRymZdrPark,PmGdaLeczkow,PmKosTargowa,SkKielJagiel,SkKielTargow,SkKonsGranatMOB,SkPolaRuszcz,SlBielPartyz,SlKatoKossut,SlZlotPotLes,WmOlsPuszkin,WpKaliSawick,WpPoznDabrow,ZpSzczAndrze,ZpSzczPilsud
rok,miesiąc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,21.121368205128206,25.598822870619948,25.81068667117727,35.00522575757576,38.35073079847909,28.767922932330826,,28.667025572005382,24.394993045897078,33.98523287671233,41.01094917582418,,,21.257598440748442,49.7143527688172,41.98062033898305,48.64543108108108,26.66911108870968,27.78574136553945,33.23812154696133,38.743896559299195,32.01693681318682,28.006650797101447,33.746219583333335,31.450345505376347,33.24598537012113,30.34763194758065,24.993709677419353,28.311318977119786,38.13424821639785,31.09108394308943,15.44892561983471,22.597560975609756,,30.31642091644205,27.199312043010753,23.759422123655916,17.621008667621776,32.23564365930599,28.380108254397836,,,27.534513399153738,48.28888138429752,40.03413524590164,27.328002571819425,25.429593141289438,,,23.07054317631225,21.18230020242915
2018,2,38.07028586567164,45.71066998500749,46.22810293853074,51.50663103448276,48.14512553191489,41.43875870646767,,33.36044776119403,37.92261904761905,46.659494752623694,62.37742360060514,,,36.32679876785714,58.266521726190476,53.56063550387597,47.11436860119048,45.00432205357143,38.0504069872,48.00715350223547,60.06335724553572,41.755403726708074,41.3726082848,39.39537314008942,40.87824125186289,41.082207596726185,39.44518977329193,38.94176024279211,33.97927083333333,51.10244293703148,54.35973437967116,19.469467213114754,29.94333843797856,,51.72935512048193,34.75230505216095,35.161885907738096,22.16742355322339,53.495667753846156,43.41507462686567,,,41.81855439642325,79.25858420268257,57.80656577380952,37.6867023880597,27.604435654761904,49.75455037181996,,27.850853517138596,30.26686428358209
2018,3,35.99783413746631,38.456313951612906,37.21478539083558,45.06615789473685,56.71800847457627,40.79305648535564,,37.55929919137466,33.20958904109589,38.915037735849054,52.16208130081301,,,28.030319945652174,57.757863615591404,49.919254005376345,45.78480490566037,43.1079138844086,35.932335638728325,38.474074074074075,55.014547606182795,37.52472340425532,38.09105148699422,38.0915577405914,35.87814516129032,39.93796975537634,35.06885183827493,36.42325268817204,32.229474393531,47.712272778385774,42.64527044354839,21.234214390602055,27.93243243243243,,42.37747010796221,47.001834596774195,28.54500080753701,21.560030471063257,53.26808125,41.47418918918919,,,36.42201923076923,71.47674235294117,50.54632214092141,31.68622106936416,28.24511686827957,38.322788675675675,,24.367624392523364,31.219057513513512
2018,4,13.830232397743302,20.700945668523676,18.59714793006993,23.143181767180923,23.061889763779526,14.679686977272727,,15.143117977528089,16.679148251748252,18.59696633941094,21.346770992366412,,,14.959551382228492,31.051924937238493,19.74939689944134,17.88818642752562,18.483779537572254,17.718945920937042,19.19149232914923,19.28983172384937,22.29995238095238,18.550966090775987,20.014331526610643,18.53477777777778,23.74796279166667,18.944016898470096,16.99627972027972,19.345862068965516,20.565655245467227,18.304424013986015,14.134958217270194,14.99438202247191,,16.596345648535564,20.673482805555555,15.401406051873199,16.94026173611111,12.386922696245735,19.62966573816156,,,17.010278164116826,23.291257661064424,20.363876,15.51993381443299,17.022070694444444,20.145285746164575,,,17.018063008356545
2018,5,16.161815954301076,16.648540152143845,13.897814811320755,14.156189835164836,15.86970588235294,11.891892647058823,11.994920967741935,13.421906143437077,12.313673387096774,12.919588235294118,14.217917030567687,17.986251333333335,,11.46152170182841,25.151195292353822,17.111948787061994,13.571072934051143,14.49590069892473,12.34675604694168,12.117527173913043,10.63466481451613,14.124320113314448,11.608948578947368,14.359359164642376,12.246251691474965,14.251420217741934,12.491637866756394,13.595289982425308,13.374444444444443,13.676734116409538,17.67724435309973,10.600683994528044,9.679296346414073,,14.368727139001349,13.102713051075268,12.777837096774194,13.629763467741935,13.016328106591864,11.71708633093525,,,15.035209497206703,19.56586026954178,16.776050769230768,12.770774059701493,7.681808920353982,14.4926832996633,16.52377596296296,12.89681889925373,14.177943504867873
2018,6,13.660108621169918,12.446890516759776,11.547936671309193,12.679838461538463,13.462053571428571,10.038,11.598832947976879,12.815459610027855,11.800944444444445,12.849221238938055,12.078875,12.59646766726944,,9.83770957686883,25.362823277545328,14.249509199438203,11.645718591549295,15.009923166666665,10.86073410120846,10.993871866295265,9.189144518055555,12.409665211062592,10.500508817220544,12.855447114685315,11.073741007194245,14.05252379861111,11.563996019498607,12.896423357664233,11.43,11.76795783029453,16.986753027777777,9.59753086419753,8.476923076923077,,12.001563946629215,11.83604634722222,12.419842595204514,12.167721652777777,10.994565180555556,,4.4,5.8,15.764781906300485,17.698465941011236,16.199848870292886,13.204775284974092,8.638475272727272,12.358968959212378,13.416278428781204,9.433964463276835,11.767761736111112
2018,7,12.584754528301888,12.095555560053981,10.648858121621622,15.579521076233183,15.000154320987654,9.773432011331444,12.246391891891891,13.285752688172044,11.067374659400546,14.795934306569343,12.712037313432836,14.039170350404312,,9.599704740437158,21.813389809104258,13.99708801899593,11.748416419753086,14.66175072874494,11.566889864498645,11.77608695652174,9.44799070445344,12.25494623655914,10.143361887533874,12.547658905737704,11.326681614349775,13.975246551816959,11.386172481582538,12.993573573573572,12.960291262135923,11.54361577922078,16.231569112903227,18.973684210526315,8.120111731843576,,11.612556400541271,11.075822123655914,11.932695967741937,12.130107580645161,14.030662234185733,,10.61507402422611,16.000672043010752,15.07940761636107,16.926685909712724,15.665775403225807,12.456883508005822,12.251363663663664,13.271407712328768,13.273152768361582,9.268889621109608,11.83812181451613
2018,8,10.960226612903226,12.919487004048582,11.245645008403361,15.657619124087592,16.765750528541226,9.65667697461929,11.276751666666666,14.582913165266108,11.117354054054054,15.18007476635514,14.02841304347826,12.332911465053764,,8.403937595628415,26.354830161290323,16.163233192419824,14.820808585034012,16.721870241935484,11.24741534962963,14.105657708628007,8.909420806451614,13.016907356948229,8.517557317037037,14.11172588394062,10.81361997226075,14.310910436827958,11.53665143070652,13.390737134909598,12.48734501347709,11.290333848066298,16.70913565860215,9.17708830548926,8.338775510204082,,13.239688914518316,13.359915134408602,13.796184677419355,12.645683615591398,12.029281706989247,,13.741407307171853,15.47768817204301,17.93900699300699,17.65982121130552,15.43771271870794,12.779404533898305,10.877336344086022,13.698405692729766,11.349521263440861,7.927634199438202,10.69604063172043
