Miejscowość,Kod stacji,2018
Suwałki,PdSuwPulask2,29
Żary,LuZarySzyman,53
Augustów,PdAugustoZdrMOB,98
Kielce,SkKielJagiel,100
Szczecin,ZpSzczAndrze,106
Kielce,SkKielTargow,109
Włocławek,KpWloclOkrze,120
Poznań,WpPoznDabrow,122
Białystok,PdBialUpalna,135
Końskie,SkKonsGranatMOB,137
Wschowa,LuWsKaziWiel,139
Kościerzyna,PmKosTargowa,143
Zielona Góra,LuZielKrotka,144
Gdańsk,PmGdaLeczkow,150
Płock,MzPlocMiReja,169
Toruń,KpToruDziewu,169
Olsztyn,WmOlsPuszkin,190
Złoty Potok,SlZlotPotLes,192
Szczecin,ZpSzczPilsud,194
Wrocław,DsWrocWybCon,196
Kalisz,WpKaliSawick,197
Jelenia Góra,DsJelGorOgin,198
Konstancin-Jeziorna,MzKonJezWieMOB,198
Otwock,MzOtwoBrzozo,201
Rymanów-Zdrój,PkRymZdrPark,201
Siedlce,MzSiedKonars,205
Łódź,LdLodzCzerni,205
Warszawa,MzWarKondrat,210
Legionowo,MzLegZegrzyn,218
Kraków,MpKrakBulwar,220
Przemyśl,PkPrzemGrunw,225
Warszawa,MzWarWokalna,226
Warszawa,MzWarTolstoj,227
Żyrardów,MzZyraRoosev,230
Wrocław,DsWrocAlWisn,232
Lublin,LbLubObywate,234
Piastów,MzPiasPulask,237
Bydgoszcz,KpBydWarszaw,238
Bydgoszcz,KpBydPlPozna,239
Mielec,PkMielBierna,241
Łódź,LdLodzGdansk,249
Radom,MzRadTochter,250
Zgierz,LdZgieMielcz,251
Warszawa,MzWarAlNiepo,253
Połaniec,SkPolaRuszcz,256
Tarnów,MpTarRoSitko,270
Kraków,MpKrakBujaka,274
Kędzierzyn-Koźle,OpKKozBSmial,281
Katowice,SlKatoKossut,285
Bielsko-Biała,SlBielPartyz,310
Kraków,MpKrakAlKras,343
