n_papers,count
Scientific reports,16
The Science of the total environment,11
Environmental science and pollution research international,6
Environmental research,5
"Environmental pollution (Barking, Essex : 1987)",4
"Sensors (Basel, Switzerland)",3
Annals of agricultural and environmental medicine : AAEM,3
Journal of clinical medicine,3
Chemosphere,3
"Molecules (Basel, Switzerland)",3
