n_papers,count
Environmental science and pollution research international,12
International journal of environmental research and public health,9
"Environmental pollution (Barking, Essex : 1987)",6
International journal of occupational medicine and environmental health,5
Ecotoxicology and environmental safety,4
Medycyna pracy,4
The Science of the total environment,4
Chemosphere,3
Environmental research,3
Journal of environmental management,3
