n_papers,count
International journal of environmental research and public health,8
Environment international,8
Environmental science and pollution research international,8
The Science of the total environment,8
Environmental research,6
"Sensors (Basel, Switzerland)",5
Chemosphere,4
"Environmental pollution (Barking, Essex : 1987)",3
Environmental geochemistry and health,3
Journal of environmental radioactivity,3
