Miejscowość,Kod stacji,2021
Borsukowizna,PdBorsukowiz,45
Kołobrzeg,ZpKolKasprowMOB,62
Rymanów-Zdrój,PkRymZdrPark,62
Ełk,WmElkStadion,71
Zielona Góra,LuZielKrotka,92
Szczecin,ZpSzczAndrze,95
Sopot,PmSopBiPlowc,98
Guty Duże,MzGutyDuCzer,104
Żary,LuZarySzyman,105
Suwałki,PdSuwPulask2,110
Szczecin,ZpSzczPilsud,117
Bydgoszcz,KpBydWarszaw,119
Bydgoszcz,KpBydPlPozna,125
Gdynia,PmGdySzafran,128
Opole,OpOpoleKoszy,129
Olsztyn,WmOlsPuszkin,130
Szamotuły,WpSzamotKollMOB,133
Latoszyn,PkLatosZdrojMOB,134
Lębork,PmLebMalczew,135
Krosno,PkKrosKletow,136
Białystok,PdBialUpalna,137
Elbląg,WmElbBazynsk,137
Gubin,LuGubinAnderMOB,138
Gdańsk,PmGdaLeczkow,138
Gorzów Wielkopolski,LuGorzKosGdy,138
Gdynia,PmGdyPorebsk,139
Ostróda,WmOstrPilsud,142
Konstancin-Jeziorna,MzKonJezWieMOB,148
Warszawa,MzWarWokalna,151
Nysa,OpNysaRodzie,153
Jasło,PkJasloSikor,155
Brzeg,OpBrzegPoprz,156
Płock,MzPlocMiReja,156
Wrocław,DsWrocWybCon,157
Augustów,PdAugustowUz,158
Jelenia Góra,DsJelGorOgin,162
Biskupiec,WmBiskupMickMOB,163
Warszawa,MzWarChrosci,165
Wschowa,LuWsKaziWiel,165
Poznań,WpPoznDabrow,167
Grajewo,PdGrajewoWPoMOB,167
Legionowo,MzLegZegrzyn,168
Warszawa,MzWarBajkowa,169
Kościerzyna,PmKosTargowa,169
Solec Kujawski,KpSolecRowecMOB,171
Milicz,DsMiliczMOB,173
Toruń,KpToruKaszow,175
Łódź,LdLodzCzerni,175
Siedlce,MzSiedKonars,177
Warszawa,MzWarTolstoj,178
Kędzierzyn-Koźle,OpKKozBSmial,178
Złoty Potok,SlZlotPotLes,179
Nakło nad Notecią,KpNaklWawrzy,180
Przemyśl,PkPrzemGrunw,180
Dębica,PkDebiGrottg,182
Otwock,MzOtwoBrzozo,183
Kutno,LdKutn1Maja7MOB,184
Piastów,MzPiasPulask,185
Zamość,LbZamoHrubie,190
Sierpc,MzSierWiosnyMOB,191
Mielec,PkMielBierna,191
Radom,MzRadTochter,194
Włocławek,KpWloclOkrze,196
Żyrardów,MzZyraRoosev,200
Zgierz,LdZgieMielcz,201
Nisko,PkNiskoSzkla,203
Sandomierz,SkSandZielnaMOB,207
Kalisz,WpKaliSawick,209
Tarnów,MpTarRoSitko,210
Wrocław,DsWrocAlWisn,211
Jarosław,PkJarosPruch,211
Kłodzko,DsKlodzSzkol,211
Środa Śląska,DsSrodaSlMOB,212
Katowice,SlKatoKossut,214
Opatów,SkOpatPartyz,215
Starachowice,SkStaraZlota,222
Kraków,MpKrakBulwar,223
Warszawa,MzWarAlNiepo,224
Łask,LdLaskNarutoMOB,228
Rzeszów,PkRzeszPilsu,231
Lublin,LbLubObywate,246
Bielsko-Biała,SlBielPartyz,248
Kraków,MpKrakAlKras,250
Kielce,SkKielTargow,251
Racibórz,SlRaciborzWPMOB,260
Radomsko,LdRadomsRoln,265
Goczałkowice-Zdrój,SlGoczaUzdroMOB,265
Katowice,SlKatoPlebA4,276
